id,nombre,familia,orden,carbohidratos,proteinas,grasas,calorias,azucar
1096,Persimmon,Ebenaceae,Rosales,18.0,0.0,0.0,81.0,18.0
1097,Strawberry,Rosaceae,Rosales,5.5,0.8,0.4,29.0,5.4
1098,Banana,Musaceae,Zingiberales,22.0,1.0,0.2,96.0,17.2
1099,Tomato,Solanaceae,Solanales,3.9,0.9,0.2,74.0,2.6
1100,Pear,Rosaceae,Rosales,15.0,0.4,0.1,57.0,10.0
1101,Durian,Malvaceae,Malvales,27.1,1.5,5.3,147.0,6.75
1102,Blackberry,Rosaceae,Rosales,9.0,1.3,0.4,40.0,4.5
1103,Lingonberry,Ericaceae,Ericales,11.3,0.75,0.34,50.0,5.74
1104,Kiwi,Actinidiaceae,Struthioniformes,15.0,1.1,0.5,61.0,9.0
1105,Lychee,Sapindaceae,Sapindales,17.0,0.8,0.44,66.0,15.0
1106,Pineapple,Bromeliaceae,Poales,13.12,0.54,0.12,50.0,9.85
1107,Fig,Moraceae,Rosales,19.0,0.8,0.3,74.0,16.0
1108,Gooseberry,Grossulariaceae,Saxifragales,10.0,0.9,0.6,44.0,0.0
1109,Passionfruit,Passifloraceae,Malpighiales,22.4,2.2,0.7,97.0,11.2
1110,Plum,Rosaceae,Rosales,11.4,0.7,0.28,46.0,9.92
1111,Orange,Rutaceae,Sapindales,8.3,1.0,0.2,43.0,8.2
1112,Greenapple,Rosaceae,Rosales,3.1,0.4,0.1,21.0,6.4
1113,Raspberry,Rosaceae,Rosales,12.0,1.2,0.7,53.0,4.4
1114,Watermelon,Cucurbitaceae,Cucurbitales,8.0,0.6,0.2,30.0,6.0
1115,Lemon,Rutaceae,Sapindales,9.0,1.1,0.3,29.0,2.5
1116,Mango,Anacardiaceae,Sapindales,15.0,0.82,0.38,60.0,13.7
1117,Blueberry,Rosaceae,Rosales,5.5,0.0,0.4,29.0,5.4
1118,Apple,Rosaceae,Rosales,11.4,0.3,0.4,52.0,10.3
1119,Guava,Myrtaceae,Myrtales,14.0,2.6,1.0,68.0,9.0
1120,Apricot,Rosaceae,Rosales,3.9,0.5,0.1,15.0,3.2
1121,Melon,Cucurbitaceae,Cucurbitaceae,8.0,0.0,0.0,34.0,8.0
1122,Tangerine,Rutaceae,Sapindales,8.3,0.0,0.4,45.0,9.1
1123,Pitahaya,Cactaceae,Caryophyllales,7.0,1.0,0.4,36.0,3.0
1124,Lime,Rutaceae,Sapindales,8.4,0.3,0.1,25.0,1.7
1125,Pomegranate,Lythraceae,Myrtales,18.7,1.7,1.2,83.0,13.7
1126,Dragonfruit,Cactaceae,Caryophyllales,9.0,9.0,1.5,60.0,8.0
1127,Grape,Vitaceae,Vitales,18.1,0.72,0.16,69.0,16.0
1128,Morus,Moraceae,Rosales,9.8,1.44,0.39,43.0,8.1
1129,Feijoa,Myrtaceae,Myrtoideae,8.0,0.6,0.4,44.0,3.0
1130,Avocado,Lauraceae,Laurales,8.53,2.0,14.66,160.0,0.66
1131,Kiwifruit,Actinidiaceae,Ericales,14.6,1.14,0.5,61.0,8.9
1132,Cranberry,Ericaceae,Ericales,12.2,0.4,0.1,46.0,4.0
1133,Cherry,Rosaceae,Rosales,12.0,1.0,0.3,50.0,8.0
1134,Peach,Rosaceae,Rosales,9.5,0.9,0.25,39.0,8.4
1135,Jackfruit,Moraceae,Rosales,23.2,1.72,0.0,95.0,19.1
1136,Horned Melon,Cucurbitaceae,Cucurbitales,7.56,1.78,1.26,44.0,0.5
1137,Hazelnut,Betulaceae,Fagales,17.0,15.0,61.0,628.0,4.3
1138,Pomelo,Rutaceae,Sapindales,9.67,0.82,0.0,37.0,8.5
1139,Mangosteen,Clusiaceae,Malpighiales,17.91,0.41,0.58,73.0,16.11
1140,Pumpkin,Cucurbitaceae,Cucurbitales,4.6,1.1,0.3,25.0,3.3
1141,Japanese Persimmon, Ebenaceae, Ericales,19.0,0.6,0.2,70.0,13.0
1142,Papaya,Caricaceae,Brassicales,5.8,0.5,0.3,39.0,4.4
1143,Annona,Annonaceae,Rosales,19.1,1.5,0.29,92.0,3.4
1144,Ceylon Gooseberry,Salicaceae,Malpighiales,9.6,1.2,0.3,47.0,8.1
1145,Class,Solanaceae,Zingiberales,5.7,0.7,1.3491666666666666,96.0,4.5
1146,Exist,Musaceae,Fabales,25.5,5.0,0.2,80.0,9.3
1147,Production,Fabaceae,Solanales,9.4,2.3,1.2,108.0,9.9
1148,Subject,Fabaceae,Sapindales,13.6,2.237173913043478,1.3491666666666666,72.0,1.7
1149,Also,Solanaceae,Sapindales,10.7,1.1,1.3491666666666666,55.0,8.9
1150,Couple,Rosaceae,Fabales,15.540382513661198,2.1,1.2,45.0,10.8
1151,Director,Solanaceae,Sapindales,27.6,4.3,1.3491666666666666,58.0,14.3
1152,Party,Musaceae,Sapindales,26.7,3.9,1.2,82.0,5.7
1153,Chance,Musaceae,Sapindales,6.7,4.8,0.5,118.0,7.8
1154,Piece,Musaceae,Sapindales,8.4,3.7,0.6,66.0,13.3
1155,Hand,Solanaceae,Fabales,9.7,3.4,1.3491666666666666,82.0,9.5
1156,Research,Solanaceae,Zingiberales,16.7,2.9,1.2,117.0,9.9
1157,Tough,Rutaceae,Fabales,15.4,0.2,1.1,53.0,3.8
1158,,Solanaceae,Solanales,20.5,2.237173913043478,0.7,114.0,9.6
1159,Whom,Rutaceae,Fabales,18.1,4.1,0.4,79.0,8.04551912568306
1160,No,Rosaceae,Rosales,25.5,0.2,1.3491666666666666,99.0,4.3
1161,At,Rutaceae,Sapindales,25.1,1.6,1.0,80.0,5.1
1162,Popular,Musaceae,Solanales,24.7,4.1,0.4,82.0,5.2
1163,Wind,Fabaceae,Rosales,15.540382513661198,2.8,0.1,110.0,11.4
1164,By,Rosaceae,Sapindales,15.4,3.4,2.0,82.0,4.7
1165,Two,Rosaceae,Rosales,22.1,1.8,1.6,75.26041666666667,5.4
1166,Decide,Musaceae,Zingiberales,28.2,0.5,1.5,76.0,5.7
1167,Activity,Rutaceae,Zingiberales,26.4,2.237173913043478,2.0,108.0,5.7
1168,,Rosaceae,Fabales,18.6,4.9,1.3,111.0,10.8
1169,Many,Fabaceae,Zingiberales,22.3,2.237173913043478,1.3,107.0,8.04551912568306
1170,Head,Rosaceae,Fabales,15.540382513661198,0.8,1.5,64.0,7.9
1171,Over,Musaceae,Sapindales,16.1,2.237173913043478,0.3,97.0,10.4
1172,Organization,Solanaceae,Sapindales,26.0,0.6,1.4,75.26041666666667,8.1
1173,Position,Solanaceae,Zingiberales,14.1,2.7,0.6,91.0,11.2
1174,Article,Solanaceae,Zingiberales,13.1,0.2,0.4,42.0,3.7
1175,Different,Rosaceae,Zingiberales,19.1,0.4,2.0,106.0,8.04551912568306
1176,Then,Rosaceae,Solanales,8.0,0.2,1.3491666666666666,73.0,9.1
1177,,Fabaceae,Zingiberales,12.6,1.3,1.9,75.26041666666667,5.1
1178,Mouth,Solanaceae,Sapindales,15.540382513661198,2.9,1.3491666666666666,38.0,13.8
1179,Everyone,Solanaceae,Rosales,5.6,1.6,1.3491666666666666,71.0,6.7
1180,Option,Solanaceae,Zingiberales,5.4,2.0,0.2,76.0,8.04551912568306
1181,Fall,Rutaceae,Fabales,8.3,4.4,0.7,46.0,3.1
1182,Work,Rosaceae,Zingiberales,8.8,2.6,1.7,109.0,13.6
1183,Shoulder,Musaceae,Sapindales,5.8,1.1,1.0,119.0,1.5
1184,Free,Musaceae,Fabales,7.5,2.7,0.9,82.0,8.4
1185,Lay,Rutaceae,Solanales,15.540382513661198,0.4,0.8,74.0,2.5
1186,Wait,Solanaceae,Sapindales,11.3,2.237173913043478,1.3491666666666666,73.0,8.7
1187,Reflect,Rosaceae,Zingiberales,29.2,1.5,1.6,72.0,7.8
1188,Couple,Solanaceae,Fabales,26.3,4.9,1.7,51.0,5.6
1189,Part,Fabaceae,Solanales,21.2,4.9,0.4,88.0,6.7
1190,Tree,Musaceae,Fabales,5.0,0.5,0.9,58.0,9.1
1191,Price,Musaceae,Sapindales,21.2,4.9,1.9,84.0,8.04551912568306
1192,Trip,Rosaceae,Rosales,20.1,0.6,1.4,102.0,2.5
1193,Rate,Solanaceae,Sapindales,19.1,1.7,0.7,110.0,14.3
1194,Open,Rosaceae,Rosales,15.540382513661198,1.7,0.4,116.0,14.1
1195,Ok,Solanaceae,Zingiberales,7.4,3.0,1.2,97.0,8.04551912568306
1196,Why,Rutaceae,Rosales,13.4,1.4,1.3491666666666666,75.26041666666667,10.4
1197,Every,Rutaceae,Sapindales,24.6,3.2,1.8,84.0,1.3
1198,Old,Musaceae,Solanales,23.2,1.7,1.7,73.0,13.4
1199,Ahead,Rutaceae,Sapindales,22.4,4.4,1.6,105.0,12.6
1200,Ready,Musaceae,Fabales,6.9,1.0,1.9,81.0,8.3
1201,Trouble,Solanaceae,Solanales,6.9,2.9,1.3491666666666666,30.0,14.7
1202,Anyone,Fabaceae,Sapindales,27.2,3.0,1.6,42.0,12.1
1203,American,Rutaceae,Fabales,19.5,3.2,0.6,93.0,10.7
1204,Cut,Fabaceae,Rosales,9.6,4.4,0.2,113.0,8.04551912568306
1205,Institution,Fabaceae,Zingiberales,23.0,4.3,1.5,110.0,10.3
1206,Notice,Rutaceae,Rosales,15.7,0.9,1.7,77.0,8.5
1207,Expect,Rosaceae,Rosales,17.3,1.9,0.4,94.0,9.0
